Station Name: NEWPORT,,,,,,,,,,,
Station Height: 22 M ,,,,,,,,,,,
Latitude:53.922  ,Longitude: -9.572,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
year:  -  Year,,,,,,,,,,,
month: -  Month,,,,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,,,,
meant: -  Mean Air Temperature (C),,,,,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,,,,
"mintp: -  Minimum  Air Temperature (C)	",,,,,,,,,,,
mnmax: -  Mean Maximum Temperature (C),,,,,,,,,,,
mnmin: -  Mean Minimum Temperature (C),,,,,,,,,,,
gmin:  -  Grass Minimum Temperature (C),,,,,,,,,,,
wdsp:  -  Mean Wind Speed (knot),,,,,,,,,,,
mxgt:  -  Highest Gust (knot),,,,,,,,,,,
sun:   -  Sunshine duration (hours),,,,,,,,,,,
ind:   -  Indicator,,,,,,,,,,,
,,,,,,,,,,,
year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
2005,2, , , , , , , , ,56, 
2005,3,8.7,18.9,0.9,11.4,6,63.8,-0.8,10.1,45, 
2005,4,8.8,16.8,1.8,12,5.6,131.1,0.4,10.5,50, 
2005,5, , , , , , , , , , 
2005,6, , , , , ,107.5,5.5,9.1,29, 
2005,7, , , , , ,45.7,9,9.4,40, 
2005,8, , , , , ,124.2,9.8,8.4,49, 
2005,9, , , , , ,117,4,10.1,47, 
2005,10,12,17.8,3.8,14.5,9.4,126.3,1.2,11.4,50, 
2005,11,7.9,14.6,-0.2,10.7,5.1,173.9,-0.8,11.1,59, 
2006,1,6.3,12.6,-1,8.6,4,90.5,-3,10.8,49, 
2006,2,6.3,11.8,0.5,8.7,3.8,92.1,-0.6,9,48, 
2006,3,6.1,12.9,-3,8.8,3.4,137.4,-7.7,9.7,60, 
2006,4,8.7,17.1,-0.5,11.9,5.5,110.9,-2.1,10.2,41, 
2006,5,11.1,23.6,4,14.5,7.7,144.3,1.4,11.5,47, 
2006,6,14.6,25.2,6.4,18.5,10.7,41.6,5.3,8.9,45, 
2006,7,16.6,27.8,9.1,20.2,13,66.3,5.9,8.8,43, 
2006,8,15.1,20.9,8.4,17.8,12.4,70.6,4.9,9.8,32, 
2006,9,14.9,21,7.5,18.1,11.7,179.8,4.8,9.6,45, 
2006,10,12.2,18.2,6.2,15,9.5,168.2,2.6,10.5,58, 
2006,11,8.6,14,1.8,11.2,6, ,-0.8,11.4,56, 
2006,12,7.2,12.6,-0.5,9.5,5,257.6,-1.5,12.7,60, 
2007,1,7.4,13.5,0.2,9.7,5,208.8,-2.1,13.6,62, 
2007,2,6.7,12.5,-1.5,9.5,3.8,107.2,-4.2,10.6,50, 
2007,3,8.1, , ,11.4,4.7,112,-0.3,11.8,59, 
2007,4,11.3,19.6,2.4,15.7,6.9,53.2,-0.3,8.2,47, 
2007,5,11.4,23.6,3.6,15.1,7.6,121,-1,9.8,43, 
