OBJECTID,ZONING_ABBREVIATION,ZONING,STATUS,TOWN,PLAN_NAME,MyPlan_GZT,Shape__Area,Shape__Length
1,EM,Environmental Management,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,,763146.305664063,4089.71514587437
2,I,Industrial,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,C2.1,724247.99307251,3418.87574434575
3,BT,Business and Technology,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,C3,507525.37512207,3715.69296172892
4,EM,Environmental Management,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,,417207.537261963,3469.92184644163
5,BT,Business and Technology,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,C3,386736.55166626,4108.5434316348
6,R,Residential (Phase 1),ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R1.6,204213.830535889,3362.32445188929
7,SR,Strategic Reserve,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R4.6,174304.903411865,1756.62208049616
8,R,Residential (Phase 2),ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R1.6,100182.190002441,2286.07415194732
9,A,Agriculture,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,P1,98166.477935791,1642.29372710593
10,A,Agriculture,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,P1,95628.5629882813,1809.92593976446
11,SR,Strategic Reserve,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R4.6,91483.6692810059,1467.98413994971
12,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,88469.8012390137,4696.00220796574
13,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,88095.1644287109,2113.75311432631
14,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,75263.4343261719,2854.49802657341
15,TC,Town Centre,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,M2,67640.6133422852,2033.77153171535
16,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,73391.0801391602,3326.7035519763
17,A,Agriculture,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,P1,72280.8657226563,1281.01436168442
18,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,67611.2676086426,1855.19056771337
19,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,55542.9410095215,2531.69302274295
20,C2,Commercial / Mixed Use,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,C6,59267.0121765137,1857.82580302289
21,A,Agriculture,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,P1,57291.231048584,1422.58720740216
22,CF,Community Facilities,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,S3,56512.9587097168,1317.82102167133
